Date,grossNewSales
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,3398
2023-01-05,2600
2023-01-05,0
2023-01-05,4496
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,0
2023-01-05,25400
2023-01-12,39670
2023-01-12,271999
2023-01-12,7110
2023-01-12,30376
2023-01-12,61900
2023-01-12,8500
2023-01-12,1532
2023-01-12,0
2023-01-12,0
2023-01-12,21250
2023-01-12,0
2023-01-12,0
2023-01-12,150
2023-01-12,490
2023-01-12,0
2023-01-12,0
2023-01-12,63840
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,441
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,1600
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,5744
2023-01-12,134500
2023-01-12,0
2023-01-12,70286
2023-01-12,284520
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,0
2023-01-12,132896
2023-01-19,35597
2023-01-19,407758
2023-01-19,42461
2023-01-19,39316
2023-01-19,1417
2023-01-19,5000
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,18000
2023-01-19,3000
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,217710
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,25000
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,800
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,6534
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,0
2023-01-19,3757
2023-01-19,331
2023-01-19,0
2023-01-19,221
2023-01-19,97591
2023-01-19,0
2023-01-19,7000
2023-01-19,0
2023-01-19,0
2023-01-19,188740
2023-01-26,3147
2023-01-26,401591
2023-01-26,13656
2023-01-26,23310
2023-01-26,74510
2023-01-26,5300
2023-01-26,600
2023-01-26,18800
2023-01-26,0
2023-01-26,15885
2023-01-26,0
2023-01-26,54500
2023-01-26,350
2023-01-26,0
2023-01-26,700
2023-01-26,0
2023-01-26,196540
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,0
2023-01-26,183452
2023-01-26,53331
2023-01-26,0
2023-01-26,551
2023-01-26,76160
2023-01-26,126
2023-01-26,7000
2023-01-26,0
2023-01-26,0
2023-01-26,585196
2023-02-02,125
2023-02-02,135842
2023-02-02,75001
2023-02-02,46012
2023-02-02,8250
2023-02-02,0
2023-02-02,7740
2023-02-02,67000
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,600
2023-02-02,1000
2023-02-02,4000
2023-02-02,0
2023-02-02,0
2023-02-02,63500
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,12000
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,0
2023-02-02,70000
2023-02-02,22
